,Book,Chapter,Start Verse,End Verse,Summary
54,GEN,9,26.,26,Blesses Shem.
55,GEN,9,27,29,"Prays for Japheth, and dies."
56,GEN,10,1.,1,The generations of Noah.
57,GEN,10,2,5,Japheth.
58,GEN,10,6,7,Ham.
59,GEN,10,8,20,"Nimrod the first monarch, and the descendants of Canaan."
60,GEN,10,21,32,The sons of Shem.
61,GEN,11,1.,1,One language in the world.
62,GEN,11,2,4,The building of Babel.
63,GEN,11,5,9,"It is interrupted by the confusion of tongues, and the builders dispersed."
64,GEN,11,10,26,The generations of Shem.
65,GEN,11,27,30,"The generations of Terah, the father of Abram."
66,GEN,11,31,32,"Terah, with Abram and Lot, remove from Ur to Haran."
67,GEN,12,1,3,"God calls Abram, and blesses him with a promise of Christ."
68,GEN,12,4,5,"He departs with Lot from Haran, and comes to Canaan."
69,GEN,12,6.,6,"He journeys through Canaan,"
70,GEN,12,7,9,which is promised to him in a vision.
71,GEN,12,10.,10,He is driven by famine into Egypt.
72,GEN,12,11,13,Fear makes him feign his wife to be his sister.
73,GEN,12,14,17,"Pharaoh, having taken her from him, by plagues is compelled to restore her."
74,GEN,12,18,20,"He reproves Abram, whom he dismisses."
75,GEN,13,1,5,Abram and Lot return with great riches out of Egypt.
76,GEN,13,6,7,Strife arises between Abram's herdsmen and those of Lot.
77,GEN,13,8,9,"Abram meekly refers it to Lot to choose his part of the country,"
78,GEN,13,10,13,and Lot goes to Sodom.
79,GEN,13,14,17,God renews the promise to Abram.
80,GEN,13,18.,18,"He removes to Hebron, and there builds an altar."
81,GEN,14,1,11,The battle of four kings against the king of Sodom and his allies.
82,GEN,14,12,13,Lot is taken prisoner.
83,GEN,14,14,16,Abram rescues him.
84,GEN,14,17,20,"Melchizedek blesses Abram at his return, who gives him tithes."
85,GEN,14,21,24,"The rest of the spoil, his partners having had their portions he restores to the king of Sodom."
86,GEN,15,1,3,"God encourages Abram, who complains for want of an heir."
87,GEN,15,4,5,"God promises him a son, and a multiplying of his seed."
88,GEN,15,6.,6,Abram is justified by faith.
89,GEN,15,7,21,"Canaan is promised again, and confirmed by a sign, and a vision, prophetic of the condition of his posterity till brought out of Egypt."
90,GEN,16,1,3,"Sarai, being barren, gives Hagar to Abram."
91,GEN,16,4,6,"Hagar, being afflicted for despising her mistress, runs away."
92,GEN,16,7,12,"An angel commands her to return and submit herself, promises her a numerous posterity, and shows their character and condition."
93,GEN,16,13,14,"Hagar names the place, and returns to Sarai."
94,GEN,16,15.,15,Ishmael is born.
95,GEN,16,16.,16,The age of Abram.
96,GEN,17,1,8,"God renews the covenant with Abram, and changes his name to Abraham, in token of a greater blessing."
97,GEN,17,9,14,Circumcision is instituted.
98,GEN,17,15,16,"Sarai's name is changed to Sarah, and she is blessed."
99,GEN,17,17,22,"Isaac is promised, and the time of his birth fixed."
100,GEN,17,23,27,Abraham and Ishmael are circumcised.
101,GEN,18,1,8,"The Lord appears to Abraham, who entertains angels."
102,GEN,18,9,15,Sarah is reproved for laughing at the promise of a son.
103,GEN,18,16,22,The destruction of Sodom is revealed to Abraham.
104,GEN,18,23,33,Abraham makes intercession for the inhabitants.
105,GEN,19,1,3,Lot entertains two angels.
106,GEN,19,4,11,The vicious Sodomites are smitten with blindness.
107,GEN,19,12,14,"Lot is warned, and in vain warns his sons-in-law."
108,GEN,19,15,23,"He is directed to flee with his family to the mountains, but obtains leave to go into Zoar."
109,GEN,19,24,25,Sodom and Gomorrah are destroyed.
110,GEN,19,26,28,Lot's wife becomes a pillar of salt.
111,GEN,19,29,30,Lot dwells in a cave.
112,GEN,19,31,38,The incestuous origin of Moab and Ammon.
113,GEN,20,1.,1,Abraham sojourns at Gerar.
114,GEN,20,2.,2,"Denies his wife, who is taken by Abimelech."
115,GEN,20,3,8,Abimelech is reproved for her in a dream.
116,GEN,20,9,13,He rebukes Abraham.
117,GEN,20,14,15,Restores Sarah;
118,GEN,20,16.,16,and reproves her.
119,GEN,20,17,18,Abimelech and his family are healed at Abraham's prayer.
120,GEN,21,1,5,"Isaac is born, and circumcised."
121,GEN,21,6,7,Sarah's joy.
122,GEN,21,8.,8,Isaac is weaned.
123,GEN,21,9,14,Hagar and Ishmael are cast forth.
124,GEN,21,15,16,Hagar in distress.
125,GEN,21,17,22,The angel relieves and comforts her.
126,GEN,21,23,34,Abimelech's covenant with Abraham at Beer-sheba.
127,GEN,22,1,2,Abraham is tempted to offer Isaac.
128,GEN,22,3,10,He gives proof of his faith and obedience.
129,GEN,22,11,12,The angel prevents him.
130,GEN,22,13.,13,Isaac is exchanged for a ram.
131,GEN,22,14.,14,The place is called Jehovah-jireh.
132,GEN,22,15,19,Abraham is again blessed.
133,GEN,22,20,24,The generations of Nahor unto Rebekah.
134,GEN,23,1,2,The age and death of Sarah.
135,GEN,23,3,18,The purchase of the field and cave of Machpelah;
136,GEN,23,19,20,where Sarah is buried.
137,GEN,24,1,9,Abraham swears his servant.
138,GEN,24,10,11,The servant's journey.
139,GEN,24,12,13,His prayer.
140,GEN,24,14.,14,His sign.
141,GEN,24,15,17,Rebekah meets him;
142,GEN,24,18,21,fulfils his sign;
143,GEN,24,22.,22,receives jewels;
144,GEN,24,23,24,shows her kindred;
145,GEN,24,25.,25,and invites him home.
146,GEN,24,26,28,The servant blesses God.
147,GEN,24,29,33,Laban entertains him.
148,GEN,24,34,49,The servant shows his message.
149,GEN,24,50,57,Laban and Bethuel approve it.
150,GEN,24,58,61,"Rebekah consents to go, and departs."
151,GEN,24,62,67,Isaac meets and marries her.
152,GEN,25,1,4,The sons of Abraham by Keturah.
153,GEN,25,5,6,The division of his goods.
154,GEN,25,7,10,"His age, death, and burial."
155,GEN,25,11.,11,God blesses Isaac.
156,GEN,25,12,16,The generations of Ishmael.
157,GEN,25,17,18,His age and death.
158,GEN,25,19,21,"Isaac prays for Rebekah, being barren."
159,GEN,25,22,23,The children strive in her womb.
160,GEN,25,24,26,The birth of Esau and Jacob.
161,GEN,25,27,28,Their different characters and pursuits.
162,GEN,25,29,34,Esau sells his birthright.
163,GEN,26,1,6,"Isaac, because of famine, sojourns in Gerar, and the Lord instructs and blesses him."
164,GEN,26,7,11,He is reproved by Abimelech for denying his wife.
165,GEN,26,12,17,"He grows rich, and the Philistines envy his prosperity."
166,GEN,26,18,22,"He digs Esek, Sitnah, and Rehoboth."
167,GEN,26,23,33,"God appears to him at Beer-sheba, and blesses him; and Abimelech makes a covenant with him."
168,GEN,26,34,35,Esau's wives.
169,GEN,27,1,5,Isaac sends Esau for venison.
170,GEN,27,6,13,Rebekah instructs Jacob to obtain the blessing.
171,GEN,27,14,29,"Jacob, feigning to be Esau, obtains it."
172,GEN,27,30,32,Esau brings venison.
173,GEN,27,33.,33,Isaac trembles.
174,GEN,27,34,40,"Esau complains, and by importunity obtains a blessing."
175,GEN,27,41.,41,He threatens Jacob's life.
176,GEN,27,42,46,"Rebekah disappoints him, by sending Jacob away."
177,GEN,28,1,5,"Isaac blesses Jacob, and sends him to Padan-aram."
178,GEN,28,6,9,Esau marries Mahalath the daughter of Ishmael.
179,GEN,28,10,17,"Jacob journeys, and has a vision of a ladder."
180,GEN,28,18,19,The stone of Beth-el.
181,GEN,28,20,22,Jacob's vow.
182,GEN,29,1,8,Jacob comes to the well of Haran.
183,GEN,29,9,12,He becomes acquainted with Rachel.
184,GEN,29,13,17,Laban entertains him.
185,GEN,29,18,22,Jacob covenants for Rachel.
186,GEN,29,23,27,He is deceived by Laban with Leah.
187,GEN,29,28,31,"He marries also Rachel, and serves for her seven years more."
188,GEN,29,32.,32,Leah bears Reuben;
189,GEN,29,33.,33,Simeon;
190,GEN,29,34.,34,Levi;
191,GEN,29,35.,35,and Judah.
192,GEN,30,1,4,"Rachel, in grief for her barrenness, gives Bilhah her maid unto Jacob."
193,GEN,30,5,8,Bilhah bears Dan and Naphtali.
194,GEN,30,9,13,"Leah gives Zilpah her maid, who bears Gad and Asher."
195,GEN,30,14,16,"Reuben finds mandrakes, with which Leah buys her husband's company of Rachel."
196,GEN,30,17,21,"Leah bears Issachar, Zebulun, and Dinah."
197,GEN,30,22,24,Rachel bears Joseph.
198,GEN,30,25,26,Jacob desires to depart.
199,GEN,30,27,36,Laban detains him on a new agreement.
200,GEN,30,37,43,"Jacob's policy, whereby he becomes rich."
201,GEN,31,1,18,"Jacob, displeased with the envy of Laban and his sons, departs secretly."
202,GEN,31,19,21,Rachel steals her father's images.
203,GEN,31,22,33,"Laban pursues after him, and complains of the wrong."
204,GEN,31,34,35,Rachel's stratagem to hide the images.
205,GEN,31,36,42,Jacob's complaint of Laban.
206,GEN,31,43,55,The covenant of Laban and Jacob at Galeed.
207,GEN,32,1,2,Jacob's vision at Mahanaim.
208,GEN,32,3,5,His message to Esau.
209,GEN,32,6,8,He is afraid of Esau's coming.
210,GEN,32,9,12,He prays for deliverance.
211,GEN,32,13,23,"He sends a present to Esau, and passes the brook Jabbok."
212,GEN,32,24,30,"He wrestles with an angel at Peniel, where he is called Israel."
213,GEN,32,31,32,He halts.
214,GEN,33,1,16,Jacob and Esau's meeting; and Esau's departure.
215,GEN,33,17.,17,Jacob comes to Succoth.
216,GEN,33,18,20,"At Shalem he buys a field, and builds an altar, called El-elohe-Israel."
217,GEN,34,1,3,Dinah is ravished by Shechem.
218,GEN,34,4,12,He sues to marry her.
219,GEN,34,13,19,The sons of Jacob offer the condition of circumcision to the Shechemites.
220,GEN,34,20,24,Hamor and Shechem persuade them to accept it.
221,GEN,34,25,29,"The sons of Jacob upon that advantage slay them, and spoil their city."
222,GEN,34,30,31,Jacob reproves Simeon and Levi.
223,GEN,35,1.,1,God commands Jacob to go to Bethel.
224,GEN,35,2,5,He purges his house of idols.
225,GEN,35,6,7,He builds an altar at Bethel.
226,GEN,35,8.,8,Deborah dies at Allon-bachuth.
227,GEN,35,9,15,God blesses Jacob at Bethel.
228,GEN,35,16,21,"Rachel travails of Benjamin, and dies in the way to Edar."
229,GEN,35,22.,22,Reuben lies with Bilhah.
230,GEN,35,23,26,The sons of Jacob.
231,GEN,35,27.,27,Jacob comes to Isaac at Hebron.
232,GEN,35,28,29,"The age, death, and burial of Isaac."
233,GEN,36,1,5,Esau's three wives.
234,GEN,36,6,8,His removal to mount Seir.
235,GEN,36,9,14,His sons.
236,GEN,36,15,19,The dukes which descended of his sons.
237,GEN,36,20,23,The sons and dukes of Seir the Horite.
238,GEN,36,24,30,Anah finds mules.
239,GEN,36,31,39,The kings of Edom.
240,GEN,36,40,43,The dukes that descended of Esau.
241,GEN,37,1,4,"Joseph is loved by Jacob, but hated by his brethren."
242,GEN,37,5,11,His dreams and the interpretation.
243,GEN,37,12,20,"Jacob sends him to his brethren, who counsel to slay him."
244,GEN,37,21,24,At Reuben's desire they cast him into a pit;
245,GEN,37,25,30,and afterwards sell him to the Ishmaelites; while Ruben grieves at not finding him.
246,GEN,37,31,35,"His coat, covered with blood, is sent to Jacob, who mourns him inordinately."
247,GEN,37,36.,36,Joseph is brought to Egypt and sold to Potiphar.
248,GEN,38,1,5,"Judah begets Er, Onan, and Shelah."
249,GEN,38,6,7,"Er's marriage with Tamar, and death."
250,GEN,38,8,10,The trespass of Onan.
251,GEN,38,11.,11,Tamar is reserved for Shelah.
252,GEN,38,12.,12,Judah's wife dies.
253,GEN,38,13,26,Tamar deceives Judah.
254,GEN,38,27,30,"She bears twins, Pharez and Zarah."
255,GEN,39,1,6,"Joseph is bought by Potiphar, and preferred in the family."
256,GEN,39,7,12,He resists his mistress's temptation.
257,GEN,39,13,19,He is falsely accused by her.
258,GEN,39,20.,20,He is cast into prison.
259,GEN,39,21,23,"God is with him there, and he is advanced by the keeper of prison."
260,GEN,40,1,4,"The chief butler and baker of Pharaoh being imprisoned, Joseph is charged with them."
261,GEN,40,5,19,He interprets their dreams.
262,GEN,40,20,22,They are accomplished according to his interpretation.
263,GEN,40,23.,23,"The ingratitude of the butler, in forgetting Joseph."
264,GEN,41,1,8,Pharaoh has two dreams.
265,GEN,41,9,32,Joseph interprets them.
266,GEN,41,33,45,"He gives Pharaoh counsel, and is highly advanced, and married."
267,GEN,41,46,49,The seven years of plenty.
268,GEN,41,50,52,He begets children.
269,GEN,41,53,57,The famine begins.
270,GEN,42,1,15,Jacob sends his ten sons to buy corn in Egypt.
271,GEN,42,16,17,They are imprisoned by Joseph for spies.
272,GEN,42,18,20,"They are set at liberty, on condition to bring Benjamin."
273,GEN,42,21,23,They have remorse for Joseph.
274,GEN,42,24.,24,Simeon is kept for a pledge.
275,GEN,42,25,28,"They return with corn, and their money."
276,GEN,42,29,35,Their relation to Jacob.
277,GEN,42,36,38,Jacob refuses to send Benjamin.
278,GEN,43,1,14,Jacob is hardly persuaded to send Benjamin.
279,GEN,43,15,18,Joseph entertains his brethren.
280,GEN,43,19,25,They discover their fears to the steward.
281,GEN,43,26,34,Joseph makes them a feast.
282,GEN,44,1,5,Joseph's policy to stay his brethren.
283,GEN,44,6,13,The cup is found in Benjamin's sack.
284,GEN,44,14,17,They are brought before Joseph.
285,GEN,44,18,34,Judah's humble supplication to Joseph.
286,GEN,45,1,4,Joseph makes himself known to his brethren.
287,GEN,45,5,8,He comforts them in God's providence.
288,GEN,45,9,15,He sends for his father.
289,GEN,45,16,20,Pharaoh confirms it.
290,GEN,45,21,24,"Joseph furnishes then for their journey, and exhorts them to concord."
291,GEN,45,25,28,Jacob is revived with the news.
292,GEN,46,1,4,Jacob is comforted by God at Beer-sheba.
293,GEN,46,5,7,Thence he with his company goes into Egypt.
294,GEN,46,8,27,The number of his family that went into Egypt.
295,GEN,46,28,30,Joseph meets Jacob.
296,GEN,46,31,34,He instructs his brethren how to answer Pharaoh.
297,GEN,47,1,10,"Joseph presents his father, and five of his brethren before Pharaoh."
298,GEN,47,11,12,He gives them habitation and maintenance.
299,GEN,47,13,15,He gets the Egyptians' money;
300,GEN,47,16,17,their cattle;
301,GEN,47,18,22,"and their lands, except the priests', to Pharaoh."
302,GEN,47,23,27,He restores the land for a fifth.
303,GEN,47,28.,28,Jacob's age.
304,GEN,47,29,31,He swears Joseph to bury him with his fathers.
305,GEN,48,1.,1,Joseph with his sons visits his sick father.
306,GEN,48,2.,2,Jacob strengthens himself to bless them.
307,GEN,48,3,4,He repeats God's promise.
308,GEN,48,5,6,He takes Ephraim and Manasseh as his own sons.
309,GEN,48,7.,7,He tells Joseph of his mother's grave.
310,GEN,48,8,16,He blesses Ephraim and Manasseh.
311,GEN,48,17,20,He prefers the younger before the elder.
312,GEN,48,21,22,He prophesies their return to Canaan.
313,GEN,49,1,2,Jacob calls his sons to bless them.
314,GEN,49,3,28,Their blessing in particular.
315,GEN,49,29,32,He charges them about his burial.
316,GEN,49,33.,33,He dies.
317,GEN,50,1,3,The mourning for Jacob.
318,GEN,50,4,6,Joseph gets leave of Pharaoh to go to bury him.
319,GEN,50,7,14,The funeral.
320,GEN,50,15,21,"Joseph comforts his brethren, who crave his pardon."
321,GEN,50,22.,22,His age.
322,GEN,50,23.,23,He sees the third generation of his sons.
323,GEN,50,24.,24,He prophesies unto his brethren of their return.
324,GEN,50,25.,25,He takes an oath of them concerning his bones.
325,GEN,50,26.,26,"He dies, and is put into a coffin."
326,EXO,1,1,7,"The children of Israel, after Joseph's death, increase."
327,EXO,1,8,14,"The more they are oppressed by a new king, the more they multiply."
328,EXO,1,15,21,"The godliness of the midwives, in saving the men children alive."
329,EXO,1,22.,22,Pharaoh commands the male children to be cast into the river.
330,EXO,2,1,4,"Moses is born, and in an ark cast into the flags."
331,EXO,2,5,6,"He is found, and brought up by Pharaoh's daughter;"
332,EXO,2,7,10,who employs his mother to nurse him.
333,EXO,2,11,12,He slays an Egyptian.
334,EXO,2,13,14,He reproves an Hebrew.
335,EXO,2,15,21,"He flees into Midian, and marries Zipporah."
336,EXO,2,22.,22,Gershom is born.
337,EXO,2,23,25,God respects the Israelites' cry.
338,EXO,3,1.,1,Moses keeps Jethro's flock.
339,EXO,3,2,8,God appears to him in a burning bush.
340,EXO,3,9,12,He sends him to deliver Israel.
341,EXO,3,13,14,The name of God.
342,EXO,3,15,19,"His message to Israel, and Pharaoh, whose opposition is foretold."
343,EXO,3,20,22,He is assured of Israel's deliverance.
344,EXO,4,1,5,Moses's rod is turned into a serpent.
345,EXO,4,6,9,His hand is leprous.
346,EXO,4,10,12,He is loath to be sent.
347,EXO,4,13,17,Aaron is appointed to assist him.
348,EXO,4,18,20,Moses departs from Jethro.
349,EXO,4,21,23,God's message to Pharaoh.
350,EXO,4,24,26,Zipporah circumcises her son.
351,EXO,4,27,28,Aaron is sent to meet Moses.
352,EXO,4,29,31,The people believe them.
353,EXO,5,1,5,Pharaoh chides Moses and Aaron for their message.
354,EXO,5,6,14,He increases the Israelites' task.
355,EXO,5,15,18,He checks their complaints.
356,EXO,5,19,21,They cry out upon Moses and Aaron.
357,EXO,5,22,23,Moses complains to God.
358,EXO,6,1,8,God renews his promise by his name JEHOVAH.
359,EXO,6,9.,9,Moses vainly attempts to encourage the Israelites.
360,EXO,6,10,13,He and Aaron are again sent to Pharaoh.
361,EXO,6,14,25,"The genealogy of Reuben, of Simeon, and of Levi, of whom came Moses and Aaron."
362,EXO,6,26,30,The history resumed.
363,EXO,7,1,6,Moses and Aaron are encouraged to go again to Pharaoh.
364,EXO,7,7.,7,Their age.
365,EXO,7,8,10,Aaron's rod is turned into a serpent.
366,EXO,7,11,12,The sorcerers do the like; but their rods are swallowed up by Aaron's.
367,EXO,7,13.,13,Pharaoh's heart is hardened.
368,EXO,7,14,18,God's message to Pharaoh.
369,EXO,7,19,25,The river is turned into blood; and the consequent distress of the Egyptians.
370,EXO,8,1,7,Frogs are sent.
371,EXO,8,8,15,"Pharaoh sues to Moses, who by prayer removes them away."
372,EXO,8,16,19,"The dust is turned into lice, which the magicians could not do."
373,EXO,8,20,24,The plague of flies.
374,EXO,8,25,32,"Pharaoh inclines to let the people go, but yet is hardened."
375,EXO,9,1,7,The murrain of beasts.
376,EXO,9,8,12,The plague of boils and blains.
377,EXO,9,13,21,The message of Moses about the hail.
378,EXO,9,22,26,The plague of hail.
379,EXO,9,27,35,"Pharaoh sues to Moses, but yet is hardened."
380,EXO,10,1,6,God threatens to send locusts.
381,EXO,10,7,11,"Pharaoh moved by his servants, inclines to let the Israelites go."
382,EXO,10,12,15,The plague of the locusts.
383,EXO,10,16,20,Pharaoh entreats Moses.
384,EXO,10,21,23,The plague of darkness.
385,EXO,10,24,29,"Pharaoh again entreats Moses, but yet is hardened."
386,EXO,11,1,3,God's message to the Israelites to borrow jewels of their neighbours.
387,EXO,11,4,10,Moses threatens Pharaoh with the death of the firstborn.
388,EXO,12,1,2,The beginning of the year is changed.
389,EXO,12,3,10,The passover is instituted.
390,EXO,12,11,14,The import of the rite of the passover.
391,EXO,12,15,28,"Unleavened bread, etc."
392,EXO,12,29,30,The firstborn are slain.
393,EXO,12,31,36,The Israelites are driven out of the land.
394,EXO,12,37,40,They come to Succoth.
395,EXO,12,41,42,The time of their sojourning.
396,EXO,12,43,51,The ordinance of the passover.
397,EXO,13,1,2,The firstborn are sanctified to God.
398,EXO,13,3,10,The memorial of the passover is commanded.
399,EXO,13,11,16,The firstlings of man and beast are set apart.
400,EXO,13,17,19,"The Israelites go out of Egypt, and carry Joseph's bones with them."
401,EXO,13,20.,20,They come to Etham.
402,EXO,13,21,22,"God guides them by a pillar of a cloud, and a pillar of fire."
403,EXO,14,1,4,God instructs the Israelites in their journey.
404,EXO,14,5,9,Pharaoh pursues after them.
405,EXO,14,10,12,The Israelites murmur.
406,EXO,14,13,14,Moses comforts them.
407,EXO,14,15,18,God instructs Moses.
408,EXO,14,19,20,The cloud removes behind the camp.
409,EXO,14,21,31,"The Israelites pass through the Red sea, which drowns the Egyptians."
410,EXO,15,1,21,"The song of Moses, Miriam, and Israel on their deliverance."
411,EXO,15,22.,22,The people want water in the wilderness.
412,EXO,15,23,26,"The waters at Marah are bitter, they murmur, Moses prays, and sweetens the waters by God's direction."
413,EXO,15,27.,27,"They encamp at Elim, where are twelve wells, and seventy palm trees."
414,EXO,16,1,3,"The Israelites come to Sin, and murmur for want of bread."
415,EXO,16,4,12,"God promises them bread and flesh from heaven, and they are rebuked."
416,EXO,16,13,15,Quails and manna are sent.
417,EXO,16,16,24,The ordering of manna.
418,EXO,16,25,31,It was not to be found on the sabbath.
419,EXO,16,32,36,An omer of it is preserved.
420,EXO,17,1,5,The people murmur for water at Rephidim.
421,EXO,17,6.,6,God sends them for water to the rock in Horeb.
422,EXO,17,7.,7,The place is called Massah and Meribah.
423,EXO,17,8,13,"Amalek is overcome by Joshua, while Moses holds up his hands with the rod of God."
424,EXO,17,14,16,Amalek is doomed to destruction; and Moses builds the altar JEHOVAH-nissi.
425,EXO,18,1,6,Jethro brings his wife and two sons to Moses.
426,EXO,18,7,8,"Moses entertains him, and relates the goodness of the Lord."
427,EXO,18,9,12,"Jethro rejoices, blesses God, and offers sacrifice."
428,EXO,18,13,26,"He gives good counsel, which is accepted."
429,EXO,18,27.,27,Jethro departs.
430,EXO,19,1,2,The people arrive at Sinai.
431,EXO,19,3,7,God's message by Moses unto the people out of the mount.
432,EXO,19,8.,8,The people's answer returned again.
433,EXO,19,9,11,"The people are prepared against the third day, for the giving of the law."
434,EXO,19,12,15,The mountain must not be touched.
435,EXO,19,16,25,The fearful presence of God upon the mount.
436,EXO,20,1,17,The ten commandments are spoken by Jehovah.
437,EXO,20,18,20,"The people are afraid, but Moses comforts them."
438,EXO,20,21,22,Idolatry is forbidden.
439,EXO,20,23,26,Of what sort the altar should be.
440,EXO,21,1,4,Laws for men servants.
441,EXO,21,5,6,For the servant whose ear is bored.
442,EXO,21,7,11,For women servants.
443,EXO,21,12,15,For manslaughter.
444,EXO,21,16.,16,For stealers of men.
445,EXO,21,17.,17,For cursers of parents.
446,EXO,21,18,21,For smiters.
447,EXO,21,22,27,For a hurt by chance.
448,EXO,21,28,32,For an ox that gores.
449,EXO,21,33,36,For him that is an occasion of harm.
450,EXO,22,1,4,Of theft.
451,EXO,22,5,6,Of damage.
452,EXO,22,7,13,Of trespasses.
453,EXO,22,14,15,Of borrowing.
454,EXO,22,16,17,Of fornication.
455,EXO,22,18.,18,Of witchcraft.
456,EXO,22,19.,19,Of bestiality.
457,EXO,22,20.,20,Of idolatry.
458,EXO,22,21,24,"Of strangers, widows, and fatherless."
459,EXO,22,25.,25,Of usury.
460,EXO,22,26,27,Of pledges.
461,EXO,22,28.,28,Of reverence to magistrates.
462,EXO,22,29,30,Of the first fruits.
463,EXO,22,31.,31,Of torn flesh.
464,EXO,23,1,3,"Of slander, false witness, and partiality."
465,EXO,23,4,5,Of charitableness.
466,EXO,23,6,7,Of justice in judgment.
467,EXO,23,8.,8,Of taking bribes.
468,EXO,23,9.,9,Of oppressing a stranger.
469,EXO,23,10,11,Of the year of rest.
470,EXO,23,12.,12,Of the sabbath.
471,EXO,23,13.,13,Of idolatry.
472,EXO,23,14,17,Of the three feasts.
473,EXO,23,18,19,Of the blood and the fat of the sacrifice.
474,EXO,23,20,33,"An angel is promised, with a blessing, if they obey him."
475,EXO,24,1,2,Moses is called up into the mountain.
476,EXO,24,3.,3,The people promise obedience.
477,EXO,24,4,5,"Moses builds an altar, and twelve pillars."
478,EXO,24,6,8,He sprinkles the blood of the covenant.
479,EXO,24,9,13,The glory of God appears.
480,EXO,24,14.,14,Aaron and Hur have the charge of the people.
481,EXO,24,15,18,"Moses goes into the mountain, where he continues forty days and forty nights."
482,EXO,25,1,9,What the Israelites were to offer for the formation of the tabernacle.
483,EXO,25,10,16,The form of the ark.
484,EXO,25,17,22,"The mercy seat, with the cherubims."
485,EXO,25,23,30,"The table of shew bread, with the furniture thereof."
486,EXO,25,31,40,"The golden candlestick, with the instruments thereof."
487,EXO,26,1,6,The ten curtains of the tabernacle.
488,EXO,26,7,14,"The eleven curtains of goats' hair, and the covering of rams' and badgers' skins."
489,EXO,26,15,30,"The boards of the tabernacle, with their sockets and bars."
490,EXO,26,31,35,The vail for the ark.
491,EXO,26,36,37,The hanging for the door.
492,EXO,27,1,8,"The altar of burnt offering, with the vessels thereof."
493,EXO,27,9,17,The court of the tabernacle inclosed with hangings and pillars.
494,EXO,27,18,19,"The measure of the court, and the furniture of brass."
495,EXO,27,20,21,The oil for the lamp.
496,EXO,28,1.,1,Aaron and his sons are set apart for the priest's office.
497,EXO,28,2,5,Holy garments are appointed.
498,EXO,28,6,14,The ephod and girdle.
499,EXO,28,15,29,The breast-plate with twelve precious stones.
500,EXO,28,30.,30,The Urim and Thummim.
501,EXO,28,31,35,"The robe of the ephod, with pomegranates and bells."
502,EXO,28,36,38,The plate of the mitre.
503,EXO,28,39.,39,The embroidered coat.
504,EXO,28,40,43,The garments for Aaron's sons.
